Risikofreier_Zinssatz	CALL_Europäisch_(Binomialmodell)	CALL_Amerikanisch	PUT_Europäisch_(Binomialmodell)	PUT_Amerikanisch
10.3	78.93171881	78.93171881	45.36219244	48.09557009
10.5	79.12704563	79.12704563	45.12493105	47.91519197
10.7	79.3224844	79.3224844	44.88864592	47.73520894
10.9	79.51803412	79.51803412	44.65333432	47.55562134
11.1	79.71369377	79.71369377	44.41899351	47.37642952
11.3	79.90946235	79.90946235	44.18562078	47.20035884
11.5	80.10533885	80.10533885	43.95321339	47.02656906
11.7	80.30132226	80.30132226	43.72176862	46.85314841
11.9	80.49741157	80.49741157	43.49128376	46.68009726
12.1	80.69360577	80.69360577	43.26175608	46.50741602
12.3	80.88990385	80.88990385	43.03318287	46.33510504
12.5	81.0863048	81.0863048	42.80556142	46.1631647
12.7	81.28280759	81.28280759	42.57888902	45.99159536
12.9	81.47941123	81.47941123	42.35316296	45.82039739
13.1	81.6761147	81.6761147	42.12838055	45.65288483
13.3	81.87291698	81.87291698	41.90453908	45.48718613
13.5	82.06981705	82.06981705	41.68163586	45.32314971
13.7	82.26681391	82.26681391	41.45966819	45.16134012
13.9	82.46390654	82.46390654	41.23863337	44.99985756
14.1	82.66109393	82.66109393	41.01852873	44.83870242
14.3	82.85837504	82.85837504	40.79935158	44.67787512
14.5	83.05574888	83.05574888	40.58109923	44.51737604
14.7	83.25321442	83.25321442	40.363769	44.36067831
14.9	83.45077064	83.45077064	40.14735822	44.20466029
15.1	83.64841653	83.64841653	39.93186421	44.04895153
15.3	83.84615107	83.84615107	39.7172843	43.89355245
15.5	84.04397324	84.04397324	39.50361583	43.73846347
15.7	84.24188201	84.24188201	39.29085613	43.58368501
15.9	84.43987638	84.43987638	39.07900254	43.42921748
16.1	84.63795533	84.63795533	38.86805239	43.27506129
16.3	84.83611782	84.83611782	38.65800304	43.12121685
16.5	85.03436285	85.03436285	38.44885183	42.96768455
16.7	85.23268939	85.23268939	38.24059611	42.81446479
16.9	85.43109642	85.43109642	38.03323323	42.66155794
17.1	85.62958293	85.62958293	37.82676056	42.50896441
17.3	85.82814788	85.82814788	37.62117544	42.35668456
17.5	86.02679026	86.02679026	37.41647525	42.2080519
17.7	86.22550906	86.22550906	37.21265734	42.06006383
17.9	86.42430324	86.42430324	37.00971909	41.91236929
18.1	86.62317178	86.62317178	36.80765787	41.76496866
18.3	86.82211367	86.82211367	36.60647105	41.61786232
18.5	87.02112789	87.02112789	36.40615601	41.47105064
18.7	87.2202134	87.2202134	36.20671013	41.32453401
18.9	87.4193692	87.4193692	36.00813081	41.17831279
19.1	87.61859425	87.61859425	35.81041541	41.03238734
19.3	87.81788754	87.81788754	35.61356134	40.88675803
19.5	88.01724805	88.01724805	35.41756599	40.74199244
19.7	88.21667475	88.21667475	35.22242675	40.59892556
19.9	88.41616663	88.41616663	35.02814103	40.45614393
